codigo_ncm,descricao_ncm,nacionalfederal,importadosfederal,estadual,municipal,vigenciainicio,vigenciafim
0,PRODUTO NAO ESPECIFICADO NA LISTA DE NCM,13.45,15.45,7.00,0.00,20/10/2025,30/11/2025
1012100,"Cavalos reprodutores,de raca pura",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1012900,"Cavalos vivos,exceto reprodutores de raca pura",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1013000,Asininos,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1019000,"Outros asininos e muares,vivos",13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1022110,"Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1022190,"Outros bovinos reprodutores,de raca pura",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1022911,"Outros bovinos para reproducao, prenhe ou com cria ao pe",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1022919,Outros bovinos domesticos para reproducao,13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1022990,Outros bovinos domesticos,13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1023110,"Bufalos reprodutores,de raca pura, prenhe ou com cria ao pe",13.45,15.45,17.00,0.00,20/10/2025,30/11/2025
1023190,"Outros bufalos reprodutores,de raca pura",13.45,15.45,17.00,0.00,20/10/2025,30/11/2025
1023911,"Outros bufalos para reproducao, prenhe ou com cria ao pe",13.45,15.45,17.00,0.00,20/10/2025,30/11/2025
1023919,Outros bufalos para reproducao,13.45,15.45,17.00,0.00,20/10/2025,30/11/2025
1023990,Outros bufalos,13.45,15.45,17.00,0.00,20/10/2025,30/11/2025
1029000,Outros animais vivos da especie bovina,13.45,15.45,17.00,0.00,20/10/2025,30/11/2025
1031000,Suinos reprodutores de raca pura,13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1039100,"Outros suinos,vivos,de peso inferior a 50kg",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1039200,"Outros suinos,vivos,de peso igual ou superior a 50kg",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1041011,"Ovinos reprodutores,de raca pura,prenhe ou c/cria ao pe",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1041019,"Outros ovinos,reprodutores,de raca pura",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1041090,"Outros ovinos,vivos",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1042010,"Caprinos reprodutores,de raca pura",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1042090,"Outros caprinos,vivos",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1051110,"Galos e galinhas,p<=185g,de linha pura/hibrida, p/reprod",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1051190,"Outros galos e galinhas,vivos,de peso n/superior a 185g",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1051200,"Peruas e perus,vivos,de peso nao superior a 185g",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1051300,"Patos vivos,de peso<=185g",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1051400,"Gansos, vivos,de peso<=185g",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1051500,"Galinhas dangola (pintadas),vivos,de peso<=185g",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1059400,"Outros galos e galinhas,vivos de peso>185g",13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1059900,"Patos,gansos,perus,peruas,pintadas,vivos,de peso>185g",13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1061100,Primatas,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1061200,"Baleias, golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas",13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1061300,Camelos e outros camelideos,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1061400,Coelhos e lebres,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1061900,Outros animais mamiferos,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1062000,Repteis incluidas as serpentes e as tartarugas marinhas,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1063100,Aves de rapina,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1063200,"Psitaciformes (incluidos os papagaios, os periquitos, as araras e as cacatuas)",13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1063310,Avestruzes para reproducao,13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
1063390,"Outros avestruzes, emus",13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1063900,Outras aves,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1064100,Abelhas,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1064900,Outro insetos,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
1069000,Outros animais vivos,13.45,17.53,12.00,0.00,20/10/2025,30/11/2025
2011000,"Carcacas e meias carcacas,de bovino,frescas ou refriger",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2012010,"Quartos dianteiros,de bovino,n/desossad. frescos/refrig.",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2012020,"Quartos traseiros,de bovino,n/desossados, frescos/refrig",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2012090,"Outs.carnes de bovino,nao desossadas, frescas ou refrig.",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2013000,"Carnes de bovino,desossadas,frescas ou refrigeradas",13.45,21.28,12.00,0.00,20/10/2025,30/11/2025
2021000,"Carcacas e meias-carcacas,de bovino, congeladas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2022010,"Quartos dianteiros,de bovino,nao desossados, congelados",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2022020,"Quartos traseiros,de bovino,nao desossados, congelados",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2022090,"Outras carnes de bovino,nao desossadas, congeladas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2023000,"Carnes de bovino,desossadas,congeladas",13.45,15.45,12.00,0.00,20/10/2025,30/11/2025
2031100,"Carcacas e meias-carcacas,de suino,frescas ou refriger.",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2031200,"Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2031900,"Outras carnes,de suino,frescas ou refrigeradas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2032100,"Carcacas e meias-carcacas,de suino, congeladas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2032200,"Pernas,pas e pedacos,de suinos,n/desossados, congelados",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2032900,"Outras carnes,de suino,congeladas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2041000,"Carcacas e meias-carcacas,de cordeiro, frescas ou refrig",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2042100,"Carcacas e meias-carcacas,de ovino,frescas ou refriger.",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2042200,"Outras carnes,de ovino,nao desossadas, ]frescas ou refrig",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2042300,"Carnes de ovino,desossadas,frescas ou refrigeradas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2043000,"Carcacas e meias-carcacas,de cordeiro, congeladas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
2044100,"Carcacas e meias-carcacas,de ovino, congeladas",13.45,20.39,12.00,0.00,20/10/2025,30/11/2025
